id,points,total_points,event_transfers,points_on_bench,entry,event
120001,28,28,0,0,265602,1
513211,53,81,0,0,265602,2
971956,26,107,0,0,265602,3
1430701,43,150,0,0,265602,4
1889446,36,186,0,0,265602,5
2348191,58,244,0,0,265602,6
2806936,28,272,0,0,265602,7
3254069,35,307,0,0,265602,8
3712814,30,337,0,0,265602,9
4171559,26,363,0,0,265602,10
4630304,32,395,0,0,265602,11
5089049,25,420,0,0,265602,12
5547794,36,456,0,0,265602,13
6006539,32,488,0,0,265602,14
6465284,20,508,0,0,265602,15
6989564,29,537,0,0,265602,16
7513844,38,575,0,0,265602,17
8038124,35,610,0,0,265602,18
8562404,32,642,0,0,265602,19
9086684,0,642,0,0,265602,20
