id,points,total_points,event_transfers,points_on_bench,entry,event
82869,67,67,0,0,181648,1
476079,49,116,0,0,181648,2
934824,41,157,0,0,181648,3
1393569,42,199,0,0,181648,4
1852314,27,226,0,0,181648,5
2311059,52,278,0,0,181648,6
2769804,27,305,0,0,181648,7
3216937,49,354,0,0,181648,8
3675682,31,385,0,0,181648,9
4134427,59,444,0,0,181648,10
4593172,33,477,0,0,181648,11
5051917,46,523,0,0,181648,12
5510662,41,564,0,0,181648,13
5969407,66,630,0,0,181648,14
6428152,35,665,0,0,181648,15
6952432,44,709,0,0,181648,16
7476712,56,765,0,0,181648,17
8000992,48,813,0,0,181648,18
8525272,46,859,0,0,181648,19
9049552,58,917,0,0,181648,20
9515148,32,949,0,0,181648,21
10039428,49,998,0,0,181648,22
10563708,42,1040,0,0,181648,23
11087988,80,1120,0,0,181648,24
11612268,57,1177,0,0,181648,25
12136548,46,1223,0,0,181648,26
12660828,57,1280,0,0,181648,27
13185108,54,1334,0,0,181648,28
13709388,41,1375,0,0,181648,29
