id,points,total_points,event_transfers,points_on_bench,entry,event
120002,46,46,0,0,266044,1
513212,32,78,0,0,266044,2
971957,35,113,0,0,266044,3
1430702,23,136,0,0,266044,4
1889447,35,171,0,0,266044,5
2348192,40,211,0,0,266044,6
2806937,50,261,0,0,266044,7
3254070,23,284,0,0,266044,8
3712815,38,322,0,0,266044,9
4171560,49,371,0,0,266044,10
4630305,53,424,0,0,266044,11
5089050,35,459,0,0,266044,12
5547795,57,516,0,0,266044,13
6006540,55,571,0,0,266044,14
6465285,39,610,0,0,266044,15
6989565,30,640,0,0,266044,16
7513845,35,675,0,0,266044,17
8038125,42,717,0,0,266044,18
8562405,31,748,0,0,266044,19
9086685,0,748,0,0,266044,20
