id,points,total_points,event_transfers,points_on_bench,entry,event
119999,33,33,0,0,265466,1
513209,46,79,0,0,265466,2
971954,27,106,0,0,265466,3
1430699,57,163,0,0,265466,4
1889444,36,199,0,0,265466,5
2348189,40,239,0,0,265466,6
2806934,54,293,0,0,265466,7
3254067,33,326,0,0,265466,8
3712812,38,364,0,0,265466,9
4171557,33,397,0,0,265466,10
4630302,34,431,0,0,265466,11
5089047,49,480,0,0,265466,12
5547792,31,511,0,0,265466,13
6006537,61,572,0,0,265466,14
6465282,29,601,0,0,265466,15
6989562,60,661,0,0,265466,16
7513842,54,715,0,0,265466,17
8038122,46,761,0,0,265466,18
8562402,42,803,0,0,265466,19
9086682,0,803,0,0,265466,20
