id,points,total_points,event_transfers,points_on_bench,entry,event
120003,57,57,0,0,266144,1
513213,44,101,0,0,266144,2
971958,47,148,0,0,266144,3
1430703,40,188,0,0,266144,4
1889448,59,247,0,0,266144,5
2348193,44,291,0,0,266144,6
2806938,29,320,0,0,266144,7
3254071,40,360,0,0,266144,8
3712816,44,404,0,0,266144,9
4171561,29,433,0,0,266144,10
4630306,58,491,0,0,266144,11
5089051,49,540,0,0,266144,12
5547796,65,605,0,0,266144,13
6006541,41,646,0,0,266144,14
6465286,26,672,0,0,266144,15
6989566,31,703,0,0,266144,16
7513846,65,768,0,0,266144,17
8038126,37,805,0,0,266144,18
8562406,75,880,0,0,266144,19
9086686,0,880,0,0,266144,20
