team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
dazzoomzzoom,w,2,3,Zubimendi,1,Enzo,12,-11
Lulli XI,w,2,3,Stones,1,Diouf,10,-9
bend it like rice,f,2,3,Anderson,2,Grealish,10,-8
Cant win fc,w,2,3,Ndoye,1,Ndiaye,7,-6
Lulli XI,w,2,3,Eze,1,Rice,4,-3
bend it like rice,f,2,3,Mings,1,Collins,3,-2
Watermelon FC,w,2,3,Martinez,0,Verbruggen,2,-2
dazzoomzzoom,w,2,3,Cash,0,O'Brien,1,-1
Tension nae leni FC,f,2,3,De Ligt,1,Hume,2,-1
dazzoomzzoom,f,2,3,Adingra,1,Bobb,2,-1
Tension nae leni FC,w,2,3,P.M.Sarr,2,Martinelli,3,-1
Cant win fc,w,2,3,Digne,1,Matheus N.,2,-1
Trust the process,w,2,3,Chiesa,1,Hudson-Odoi,2,-1
Cant win fc,w,2,3,Calafiori,2,J.Timber,2,0
dazzoomzzoom,w,2,3,Bobb,2,Bernardo,2,0
Lulli XI,w,2,3,Mayenda,2,Welbeck,2,0
Tension nae leni FC,w,2,3,Ballard,0,Walker,0,0
Tension nae leni FC,w,2,3,Hume,2,Milenković,1,1
Watermelon FC,w,2,3,Yoro,1,Wan-Bissaka,0,1
dazzoomzzoom,w,2,3,Lewis,1,Lewis-Skelly,0,1
Tension nae leni FC,f,2,3,Brooks,4,P.M.Sarr,2,2
Watermelon FC,f,2,3,Caicedo,4,Guessand,1,3
Tension nae leni FC,f,2,3,Chalobah,13,Mitchell,6,7
Cant win fc,w,2,3,Beto,7,Piroe,0,7
Lulli XI,w,2,3,Henderson,7,Ederson M.,0,7
Tension nae leni FC,w,2,3,Roefs,8,Areola,0,8
