team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,18,19,Kerkez,1,Mykolenko,8,-7
Tension nae leni FC,w,18,19,Eze,0,Casemiro,6,-6
Lulli XI,f,18,19,Nketiah,0,Delap,2,-2
bend it like rice,w,18,19,Lewis-Skelly,1,Lacroix,2,-1
Lulli XI,w,18,19,Delap,2,Welbeck,3,-1
Cant win fc,w,18,19,Mykolenko,8,Collins,9,-1
Lulli XI,f,18,19,Alcaraz,0,Gakpo,1,-1
Tension nae leni FC,w,18,19,Lewis-Potter,6,Van de Ven,6,0
Lulli XI,w,18,19,Gakpo,1,Smith Rowe,1,0
bend it like rice,w,18,19,Wissa,6,Wilson,5,1
Watermelon FC,f,18,19,Brobbey,1,Isak,0,1
Tension nae leni FC,w,18,19,Gravenberch,5,Merino,2,3
dazzoomzzoom,f,18,19,Xhaka,5,Hudson-Odoi,2,3
Lulli XI,w,18,19,Frimpong,6,Hincapie,2,4
Cant win fc,w,18,19,Konaté,7,Maatsen,0,7
Tension nae leni FC,w,18,19,Broja,7,Kroupi.Jr,0,7
