team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,f,16,17,Van de Ven,0,Kayode,5,-5
Lulli XI,w,16,17,Iwobi,0,Schade,3,-3
Cant win fc,w,16,17,White,0,Richards,2,-2
Lulli XI,w,16,17,O'Reilly,6,Matheus N.,8,-2
dazzoomzzoom,f,16,17,Gusto,-1,Van Hecke,0,-1
Lulli XI,w,16,17,Lewis-Skelly,0,Thiaw,1,-1
Cant win fc,w,16,17,Maatsen,2,Hall,2,0
Watermelon FC,w,16,17,Konsa,2,Milenković,1,1
Tension nae leni FC,w,16,17,Vicario,1,Sels,0,1
Tension nae leni FC,f,16,17,Kolo Muani,2,Delap,0,2
Watermelon FC,w,16,17,Martinez,3,Lammens,1,2
Tension nae leni FC,f,16,17,Leno,7,Vicario,1,6
dazzoomzzoom,w,16,17,Stach,8,Barnes,1,7
Tension nae leni FC,f,16,17,Tete,9,Lacroix,1,8
bend it like rice,w,16,17,Wirtz,8,Gakpo,0,8
bend it like rice,w,16,17,Rogers,15,Ødegaard,3,12
Tension nae leni FC,w,16,17,Calvert-Lewin,13,Zirkzee,1,12
