team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,17,18,Kayode,3,Mykolenko,6,-3
Cant win fc,w,17,18,Pope,0,Ramsdale,3,-3
dazzoomzzoom,w,17,18,Hudson-Odoi,2,Stach,4,-2
Watermelon FC,w,17,18,Thiaw,2,Konsa,4,-2
Tension nae leni FC,w,17,18,Kroupi.Jr,1,Kolo Muani,2,-1
Cant win fc,w,17,18,Mitoma,0,Szoboszlai,0,0
Lulli XI,w,17,18,Mount,1,Iwobi,0,1
dazzoomzzoom,w,17,18,Konaté,2,Livramento,0,2
bend it like rice,w,17,18,Lacroix,3,Burn,0,3
Lulli XI,w,17,18,Matheus N.,4,Lewis-Skelly,1,3
bend it like rice,w,17,18,Anderson,3,Ndiaye,0,3
Lulli XI,w,17,18,Smith Rowe,3,Eze,0,3
Cant win fc,f,17,18,Collins,4,White,0,4
Tension nae leni FC,w,17,18,Cherki,13,N.Gonzalez,4,9
dazzoomzzoom,f,17,18,Ødegaard,10,Doku,0,10
dazzoomzzoom,f,17,18,Dalot,13,Konaté,2,11
Cant win fc,w,17,18,Schade,20,O.Dango,0,20
