team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,14,15,Merino,1,Amad,6,-5
Tension nae leni FC,w,14,15,Mykolenko,5,Senesi,8,-3
Lulli XI,w,14,15,Konaté,1,Collins,3,-2
Cant win fc,w,14,15,Mosquera,0,Schär,2,-2
Watermelon FC,f,14,15,Milenković,0,Van den Berg,1,-1
Watermelon FC,f,14,15,Igor Jesus,2,Kolo Muani,2,0
bend it like rice,f,14,15,Burn,7,Van de Ven,6,1
Tension nae leni FC,w,14,15,Sels,2,Roefs,1,1
bend it like rice,w,14,15,Ødegaard,2,J.Palhinha,1,1
Cant win fc,w,14,15,O.Dango,4,Schade,1,3
Watermelon FC,f,14,15,Grealish,3,Sarr,0,3
Watermelon FC,f,14,15,Enzo,3,Caicedo,0,3
bend it like rice,w,14,15,James,6,Dorgu,1,5
Watermelon FC,f,14,15,Gordon,10,Grealish,3,7
