team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
bend it like rice,f,9,10,Mosquera,0,Andersen,6,-6
bend it like rice,f,9,10,Walker,1,Richards,6,-5
Tension nae leni FC,f,9,10,J.Palhinha,4,Minteh,9,-5
Tension nae leni FC,f,9,10,Dúbravka,2,Verbruggen,6,-4
bend it like rice,f,9,10,Summerville,2,Bruno G.,4,-2
Tension nae leni FC,w,9,10,Amad,9,Gravenberch,11,-2
Lulli XI,w,9,10,Thiaw,1,Van de Ven,2,-1
Lulli XI,w,9,10,Rogers,1,Doku,2,-1
bend it like rice,w,9,10,Kroupi.Jr,2,Isidor,2,0
dazzoomzzoom,w,9,10,Neto,3,Xavi,3,0
Cant win fc,f,9,10,Aït-Nouri,1,Bogle,1,0
Tension nae leni FC,w,9,10,O'Reilly,8,Lacroix,8,0
dazzoomzzoom,f,9,10,Sels,2,Petrović,2,0
dazzoomzzoom,f,9,10,Dalot,1,N.Williams,1,0
Tension nae leni FC,w,9,10,Anthony,2,Cullen,1,1
Tension nae leni FC,f,9,10,Flemming,1,Foster,0,1
dazzoomzzoom,f,9,10,Anderson,4,Garnacho,3,1
dazzoomzzoom,f,9,10,N.Williams,1,Livramento,0,1
bend it like rice,w,9,10,Cunha,4,Wirtz,1,3
dazzoomzzoom,f,9,10,Raúl,5,Evanilson,1,4
Cant win fc,w,9,10,Leno,7,Kelleher,1,6
dazzoomzzoom,f,9,10,Van Hecke,7,Struijk,0,7
dazzoomzzoom,w,9,10,James,7,Cash,0,7
