team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Watermelon FC,w,7,8,Gibbs-White,2,Schade,6,-4
Tension nae leni FC,f,7,8,Verbruggen,2,Kelleher,6,-4
bend it like rice,f,7,8,Anthony,2,Anderson,4,-2
Cant win fc,f,7,8,Mamardashvili,1,Sels,2,-1
Lulli XI,f,7,8,Schär,0,Diouf,1,-1
Lulli XI,w,7,8,Füllkrug,0,Muniz,0,0
Lulli XI,w,7,8,Diouf,1,Truffert,1,0
Trust the process,f,7,8,Zubimendi,3,Dewsbury-Hall,2,1
bend it like rice,w,7,8,Andersen,1,Mings,0,1
Trust the process,f,7,8,Mayenda,1,Delap,0,1
dazzoomzzoom,w,7,8,Rice,3,Bernardo,1,2
Trust the process,f,7,8,Diakité,3,Hall,0,3
Lulli XI,w,7,8,Matheus N.,7,Richards,3,4
Tension nae leni FC,f,7,8,Digne,5,Udogie,0,5
Cant win fc,w,7,8,Rogers,7,Ndoye,0,7
bend it like rice,w,7,8,Mukiele,17,Collins,9,8
Lulli XI,f,7,8,Welbeck,13,Füllkrug,0,13
dazzoomzzoom,w,7,8,James,18,Stones,0,18
