team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,21,22,Sarr,0,Mitoma,2,-2
Lulli XI,w,21,22,Gusto,0,Frimpong,2,-2
Tension nae leni FC,f,21,22,Beto,1,Broja,2,-1
dazzoomzzoom,f,21,22,Vicario,1,Petrović,2,-1
Cant win fc,w,21,22,Aké,1,Dunk,2,-1
Tension nae leni FC,f,21,22,Collins,1,Lewis-Potter,1,0
dazzoomzzoom,f,21,22,Joelinton,3,Neto,3,0
Watermelon FC,f,21,22,Danso,0,Rúben,0,0
Cant win fc,w,21,22,Schär,0,Gvardiol,0,0
Cant win fc,f,21,22,Kayode,1,Calafiori,0,1
Cant win fc,w,21,22,Khusanov,3,Maatsen,2,1
Watermelon FC,w,21,22,Igor Jesus,2,G.Jesus,1,1
Cant win fc,w,21,22,Hutchinson,1,Kudus,0,1
Cant win fc,f,21,22,Barnes,3,Hutchinson,1,2
Tension nae leni FC,f,21,22,O'Brien,9,Van Hecke,6,3
Watermelon FC,f,21,22,Brobbey,9,Wilson,6,3
Tension nae leni FC,f,21,22,Casemiro,3,Dewsbury-Hall,0,3
Lulli XI,w,21,22,Garner,4,L.Paquetá,0,4
Lulli XI,w,21,22,Enzo,6,Minteh,1,5
Cant win fc,f,21,22,N.Williams,6,Aké,1,5
dazzoomzzoom,f,21,22,Hall,9,Guéhi,0,9
Watermelon FC,f,21,22,Dorgu,15,F.Kadıoğlu,2,13
