team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
bend it like rice,w,28,29,Andersen,0,Hincapie,9,-9
Tension nae leni FC,f,28,29,F.Kadıoğlu,1,Alderete,7,-6
Lulli XI,f,28,29,Van den Berg,6,Senesi,11,-5
Tension nae leni FC,f,28,29,Woltemade,0,Tolu,4,-4
Cant win fc,w,28,29,Kerkez,6,Hume,8,-2
Cant win fc,w,28,29,Cash,-1,Maatsen,0,-1
Cant win fc,w,28,29,Henry,1,Fofana,2,-1
Cant win fc,f,28,29,Kolo Muani,1,Mané,2,-1
Tension nae leni FC,f,28,29,Flemming,0,Brobbey,0,0
dazzoomzzoom,w,28,29,Cunha,2,Caicedo,2,0
Lulli XI,w,28,29,Stach,4,Enzo,4,0
Tension nae leni FC,f,28,29,Eze,3,Bernardo,2,1
bend it like rice,w,28,29,Calvert-Lewin,2,Havertz,1,1
dazzoomzzoom,w,28,29,Hall,2,Pau,0,2
Watermelon FC,f,28,29,Lammens,2,Roefs,0,2
bend it like rice,w,28,29,Collins,6,Lacroix,0,6
