team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,11,12,Walker,0,Richards,6,-6
Tension nae leni FC,w,11,12,Casemiro,0,Longstaff,2,-2
dazzoomzzoom,w,11,12,Petrović,1,Lammens,2,-1
dazzoomzzoom,w,11,12,O'Reilly,1,Van Hecke,2,-1
Watermelon FC,w,11,12,Wood,0,Calvert-Lewin,1,-1
Lulli XI,w,11,12,Kelleher,2,Martinez,3,-1
Tension nae leni FC,w,11,12,Delap,2,Isidor,2,0
Cant win fc,w,11,12,Richards,6,Tete,6,0
Lulli XI,w,11,12,Collins,1,Kerkez,1,0
Trust the process,f,11,12,Ballard,1,Lewis,0,1
Tension nae leni FC,w,11,12,Sessegnon,3,Bentancur,1,2
bend it like rice,f,11,12,Diouf,3,Mosquera,1,2
dazzoomzzoom,f,11,12,Doku,2,Mitoma,0,2
Cant win fc,w,11,12,Ndoye,3,Gordon,0,3
bend it like rice,f,11,12,Evanilson,5,Beto,1,4
bend it like rice,f,11,12,Merino,5,Wirtz,0,5
Watermelon FC,w,11,12,Cherki,7,Foden,2,5
Tension nae leni FC,w,11,12,Bassey,9,Hume,1,8
Watermelon FC,f,11,12,Murillo,17,Trippier,0,17
