id,points,total_points,event_transfers,points_on_bench,entry,event
82870,32,32,0,0,190356,1
476080,23,55,0,0,190356,2
934825,34,89,0,0,190356,3
1393570,46,135,0,0,190356,4
1852315,34,169,0,0,190356,5
2311060,53,222,0,0,190356,6
2769805,31,253,0,0,190356,7
3216938,34,287,0,0,190356,8
3675683,45,332,0,0,190356,9
4134428,23,355,0,0,190356,10
4593173,12,367,0,0,190356,11
5051918,21,388,0,0,190356,12
5510663,26,414,0,0,190356,13
5969408,32,446,0,0,190356,14
6428153,39,485,0,0,190356,15
6952433,30,515,0,0,190356,16
7476713,39,554,0,0,190356,17
8000993,31,585,0,0,190356,18
8525273,48,633,0,0,190356,19
