id,points,total_points,event_transfers,points_on_bench,entry,event
119997,39,39,0,0,265348,1
513207,74,113,0,0,265348,2
971952,70,183,0,0,265348,3
1430697,34,217,0,0,265348,4
1889442,50,267,0,0,265348,5
2348187,37,304,0,0,265348,6
2806932,40,344,0,0,265348,7
3254065,43,387,0,0,265348,8
3712810,53,440,0,0,265348,9
4171555,36,476,0,0,265348,10
4630300,38,514,0,0,265348,11
5089045,28,542,0,0,265348,12
5547790,50,592,0,0,265348,13
6006535,23,615,0,0,265348,14
6465280,54,669,0,0,265348,15
6989560,29,698,0,0,265348,16
7513840,53,751,0,0,265348,17
8038120,47,798,0,0,265348,18
8562400,56,854,0,0,265348,19
9086680,0,854,0,0,265348,20
