id,points,total_points,event_transfers,points_on_bench,entry,event
82871,43,43,0,0,200770,1
476081,46,89,0,0,200770,2
934826,35,124,0,0,200770,3
1393571,36,160,0,0,200770,4
1852316,44,204,0,0,200770,5
2311061,36,240,0,0,200770,6
2769806,51,291,0,0,200770,7
3216939,25,316,0,0,200770,8
3675684,27,343,0,0,200770,9
4134429,25,368,0,0,200770,10
4593174,53,421,0,0,200770,11
5051919,32,453,0,0,200770,12
5510664,60,513,0,0,200770,13
5969409,36,549,0,0,200770,14
6428154,26,575,0,0,200770,15
6952434,45,620,0,0,200770,16
7476714,49,669,0,0,200770,17
8000994,15,684,0,0,200770,18
8525274,55,739,0,0,200770,19
9049554,33,772,0,0,200770,20
9515150,38,810,0,0,200770,21
10039430,59,869,0,0,200770,22
10563710,31,900,0,0,200770,23
11087990,50,950,0,0,200770,24
11612270,59,1009,0,0,200770,25
12136550,66,1075,0,0,200770,26
12660830,50,1125,0,0,200770,27
13185110,33,1158,0,0,200770,28
13709390,53,1211,0,0,200770,29
14233670,41,1252,0,0,200770,30
14757950,25,1277,0,0,200770,31
15282230,41,1318,0,0,200770,32
15806510,40,1358,0,0,200770,33
16281232,61,1419,0,0,200770,34
16805512,12,1431,0,0,200770,35
17329792,27,1458,0,0,200770,36
17854072,9,1467,0,0,200770,37
