id,points,total_points,event_transfers,points_on_bench,entry,event
197237,38,38,0,0,167711,1
590447,45,83,0,0,167711,2
1049192,32,115,0,0,167711,3
1507903,47,162,0,0,167711,4
2032150,30,192,0,0,167711,5
2556383,55,247,0,0,167711,6
3080642,38,285,0,0,167711,7
3604825,68,353,0,0,167711,8
4129030,55,408,0,0,167711,9
4652922,62,470,0,0,167711,10
5177105,43,513,0,0,167711,11
5694438,79,592,0,0,167711,12
6218551,43,635,0,0,167711,13
6742715,46,681,0,0,167711,14
7266885,38,719,0,0,167711,15
7856637,30,749,0,0,167711,16
8446304,51,800,0,0,167711,17
9035842,31,831,0,0,167711,18
9624058,69,900,0,0,167711,19
10211360,49,949,0,0,167711,20
10800674,49,998,0,0,167711,21
