id,points,total_points,event_transfers,points_on_bench,entry,event
82867,53,53,0,0,178353,1
476077,59,112,0,0,178353,2
934822,37,149,0,0,178353,3
1393567,48,197,0,0,178353,4
1852312,46,243,0,0,178353,5
2311057,42,285,0,0,178353,6
2769802,45,330,0,0,178353,7
3216935,25,355,0,0,178353,8
3675680,35,390,0,0,178353,9
4134425,54,444,0,0,178353,10
4593170,37,481,0,0,178353,11
5051915,33,514,0,0,178353,12
5510660,53,567,0,0,178353,13
5969405,40,607,0,0,178353,14
6428150,36,643,0,0,178353,15
6952430,44,687,0,0,178353,16
7476710,58,745,0,0,178353,17
8000990,47,792,0,0,178353,18
8525270,55,847,0,0,178353,19
9049550,52,899,0,0,178353,20
9515146,34,933,0,0,178353,21
10039426,66,999,0,0,178353,22
10563706,60,1059,0,0,178353,23
11087986,51,1110,0,0,178353,24
11612266,56,1166,0,0,178353,25
12136546,31,1197,0,0,178353,26
12660826,49,1246,0,0,178353,27
13185106,35,1281,0,0,178353,28
13709386,40,1321,0,0,178353,29
14233666,29,1350,0,0,178353,30
14757946,21,1371,0,0,178353,31
15282226,39,1410,0,0,178353,32
