id,points,total_points,event_transfers,points_on_bench,entry,event
82873,59,59,0,0,222720,1
476083,61,120,0,0,222720,2
934828,39,159,0,0,222720,3
1393573,38,197,0,0,222720,4
1852318,58,255,0,0,222720,5
2311063,42,297,0,0,222720,6
2769808,66,363,0,0,222720,7
3216941,50,413,0,0,222720,8
3675686,67,480,0,0,222720,9
4134431,38,518,0,0,222720,10
4593176,49,567,0,0,222720,11
5051921,41,608,0,0,222720,12
5510666,67,675,0,0,222720,13
5969411,26,701,0,0,222720,14
6428156,47,748,0,0,222720,15
6952436,20,768,0,0,222720,16
7476716,40,808,0,0,222720,17
8000996,39,847,0,0,222720,18
8525276,49,896,0,0,222720,19
9049556,35,931,0,0,222720,20
9515152,66,997,0,0,222720,21
10039432,50,1047,0,0,222720,22
10563712,48,1095,0,0,222720,23
11087992,69,1164,0,0,222720,24
11612272,39,1203,0,0,222720,25
12136552,37,1240,0,0,222720,26
12660832,32,1272,0,0,222720,27
13185112,36,1308,0,0,222720,28
13709392,7,1315,0,0,222720,29
