id,points,total_points,event_transfers,points_on_bench,entry,event
197239,47,47,0,0,167713,1
590449,56,103,0,0,167713,2
1049194,48,151,0,0,167713,3
1507905,54,205,0,0,167713,4
2032152,27,232,0,0,167713,5
2556385,31,263,0,0,167713,6
3080644,68,331,0,0,167713,7
3604827,51,382,0,0,167713,8
4129032,39,421,0,0,167713,9
4652924,41,462,0,0,167713,10
5177107,47,509,0,0,167713,11
5694440,36,545,0,0,167713,12
6218553,39,584,0,0,167713,13
6742717,34,618,0,0,167713,14
7266887,60,678,0,0,167713,15
7856639,33,711,0,0,167713,16
8446306,63,774,0,0,167713,17
9035844,57,831,0,0,167713,18
9624060,39,870,0,0,167713,19
10211362,29,899,0,0,167713,20
10800676,42,941,0,0,167713,21
