id,points,total_points,event_transfers,points_on_bench,entry,event
82872,38,38,0,0,218062,1
476082,58,96,0,0,218062,2
934827,71,167,0,0,218062,3
1393572,33,200,0,0,218062,4
1852317,29,229,0,0,218062,5
2311062,48,277,0,0,218062,6
2769807,25,302,0,0,218062,7
3216940,25,327,0,0,218062,8
3675685,38,365,0,0,218062,9
4134430,31,396,0,0,218062,10
4593175,40,436,0,0,218062,11
5051920,31,467,0,0,218062,12
5510665,40,507,0,0,218062,13
5969410,53,560,0,0,218062,14
6428155,43,603,0,0,218062,15
6952435,26,629,0,0,218062,16
7476715,30,659,0,0,218062,17
8000995,44,703,0,0,218062,18
8525275,61,764,0,0,218062,19
9049555,51,815,0,0,218062,20
9515151,48,863,0,0,218062,21
10039431,60,923,0,0,218062,22
10563711,54,977,0,0,218062,23
11087991,43,1020,0,0,218062,24
11612271,48,1068,0,0,218062,25
12136551,53,1121,0,0,218062,26
12660831,45,1166,0,0,218062,27
13185111,46,1212,0,0,218062,28
13709391,14,1226,0,0,218062,29
14233671,49,1275,0,0,218062,30
14757951,31,1306,0,0,218062,31
15282231,47,1353,0,0,218062,32
15806511,46,1399,0,0,218062,33
16281233,27,1426,0,0,218062,34
16805513,51,1477,0,0,218062,35
