team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,17,18,Amad,2,Bernardo,9,-7
Tension nae leni FC,w,17,18,Young,0,Zabarnyi,6,-6
Cant win fc,w,17,18,Neto,1,Rogers,2,-1
Cant win fc,w,17,18,Onana,1,Ortega Moreno,2,-1
dazzoomzzoom,w,17,18,Kluivert,2,Sancho,2,0
Cant win fc,w,17,18,Wissa,2,Darwin,2,0
Tension nae leni FC,w,17,18,Milenković,6,Muñoz,6,0
Lulli XI,w,17,18,I.Sarr,3,Kudus,3,0
Lulli XI,w,17,18,Lacroix,6,Aït-Nouri,6,0
Tension nae leni FC,w,17,18,Ederson M.,0,Kelleher,0,0
dazzoomzzoom,w,17,18,Gusto,1,Lamptey,0,1
Lulli XI,f,17,18,Lewis,2,Rúben,0,2
dazzoomzzoom,w,17,18,J.Murphy,6,Bruno G.,3,3
Cant win fc,f,17,18,Castagne,5,Gomez,1,4
Cant win fc,w,17,18,Schär,6,Udogie,2,4
dazzoomzzoom,f,17,18,Burn,6,Digne,1,5
Dragon riders,w,17,18,Hall,6,Calafiori,0,6
