team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Watermelon FC,f,19,20,Wilson,2,Brobbey,9,-7
Cant win fc,w,19,20,Lammens,2,Roefs,3,-1
dazzoomzzoom,w,19,20,Dorgu,1,Gusto,2,-1
Tension nae leni FC,w,19,20,Tolu,2,Broja,2,0
Lulli XI,w,19,20,Welbeck,1,Nketiah,0,1
Lulli XI,w,19,20,Szoboszlai,2,Mount,0,2
bend it like rice,w,19,20,Lacroix,3,Lewis-Skelly,0,3
Tension nae leni FC,w,19,20,Van Hecke,6,De Cuyper,1,5
Cant win fc,w,19,20,Hall,6,Kerkez,1,5
Tension nae leni FC,w,19,20,Gakpo,6,Eze,0,6
Tension nae leni FC,w,19,20,Van de Ven,7,Kayode,0,7
Watermelon FC,f,19,20,Schär,8,Senesi,1,7
Lulli XI,w,19,20,Casemiro,7,Alcaraz,0,7
