team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Watermelon FC,w,22,23,Kroupi.Jr,1,Igor Jesus,9,-8
Cant win fc,w,22,23,Kerkez,0,N.Williams,8,-8
bend it like rice,w,22,23,Ndiaye,2,Cunha,9,-7
Watermelon FC,f,22,23,Kolo Muani,0,Brobbey,7,-7
Watermelon FC,w,22,23,Alderete,1,Dorgu,8,-7
Lulli XI,w,22,23,Senesi,3,O'Reilly,6,-3
Tension nae leni FC,w,22,23,M.Bizot,0,Areola,2,-2
Tension nae leni FC,w,22,23,J.Palhinha,0,Casemiro,2,-2
Cant win fc,w,22,23,O.Dango,1,Barnes,2,-1
Watermelon FC,w,22,23,Konaté,0,Danso,1,-1
Cant win fc,w,22,23,Tel,1,Schade,2,-1
Cant win fc,f,22,23,Minteh,1,Tel,1,0
Tension nae leni FC,w,22,23,Delap,1,Beto,1,0
Lulli XI,w,22,23,Henderson,1,Kelleher,1,0
dazzoomzzoom,w,22,23,Garnacho,0,Xhaka,0,0
Cant win fc,f,22,23,Spence,1,Kayode,1,0
Cant win fc,w,22,23,Frimpong,0,Schär,0,0
Lulli XI,f,22,23,Neto,3,Garner,2,1
Cant win fc,f,22,23,Leno,3,Lammens,2,1
dazzoomzzoom,w,22,23,Digne,3,Mykolenko,2,1
Lulli XI,f,22,23,Botman,3,Gusto,1,2
Tension nae leni FC,w,22,23,Aaronson,4,Gravenberch,1,3
dazzoomzzoom,w,22,23,Guéhi,6,Dalot,1,5
bend it like rice,f,22,23,Andersen,8,Lacroix,1,7
