team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dragon riders,w,18,19,Nkunku,2,Johnson,9,-7
Cant win fc,w,18,19,Calafiori,0,Schär,5,-5
Cant win fc,w,18,19,Trossard,0,Madueke,2,-2
Premier XI,w,18,19,G.Jesus,0,Calvert-Lewin,1,-1
Lulli XI,w,18,19,Muñoz,2,Lacroix,2,0
Cant win fc,w,18,19,Gomez,1,Castagne,1,0
Premier XI,w,18,19,Sancho,1,Barnes,1,0
Tension nae leni FC,f,18,19,Emerson,0,Smith,0,0
Tension nae leni FC,w,18,19,Kudus,2,Amad,2,0
Tension nae leni FC,w,18,19,Flekken,0,Johnstone,0,0
Cant win fc,f,18,19,Udogie,1,Calafiori,0,1
Lulli XI,w,18,19,Konsa,1,Estupiñan,0,1
dazzoomzzoom,f,18,19,Huijsen,1,Collins,0,1
Masala Pan,w,18,19,Mitchell,2,Roerslev,0,2
Masala Pan,w,18,19,Rogers,11,Wilson,8,3
