team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,12,13,De Ligt,2,Thiaw,16,-14
Tension nae leni FC,w,12,13,Wissa,0,Flemming,6,-6
bend it like rice,w,12,13,Wirtz,3,Merino,9,-6
Lulli XI,w,12,13,Bradley,0,Collins,4,-4
dazzoomzzoom,f,12,13,Mamardashvili,0,Petrović,2,-2
Cant win fc,w,12,13,Richards,1,Walker,3,-2
bend it like rice,f,12,13,Estêvão,1,Wirtz,3,-2
Tension nae leni FC,w,12,13,Gusto,2,Bassey,4,-2
Tension nae leni FC,w,12,13,N.Gonzalez,4,Bruno G.,4,0
Cant win fc,w,12,13,Garnacho,1,Ndoye,1,0
Lulli XI,w,12,13,Lammens,2,Kelleher,2,0
bend it like rice,f,12,13,Dorgu,1,Diouf,1,0
Cant win fc,w,12,13,Schade,3,Grealish,2,1
Lulli XI,f,12,13,Robertson,1,Bradley,0,1
bend it like rice,w,12,13,Isidor,2,Kroupi.Jr,1,1
Watermelon FC,f,12,13,Truffert,1,Murillo,0,1
Tension nae leni FC,w,12,13,Digne,7,Burn,5,2
Watermelon FC,w,12,13,Igor Jesus,2,Wood,0,2
Tension nae leni FC,w,12,13,Xhaka,5,Enzo,2,3
Cant win fc,w,12,13,Martinez,7,Leno,1,6
Tension nae leni FC,w,12,13,Verbruggen,7,Dúbravka,1,6
Watermelon FC,w,12,13,Foden,15,Cherki,4,11
