team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,20,21,Maatsen,1,Konaté,7,-6
Watermelon FC,w,20,21,Roefs,2,Henderson,7,-5
dazzoomzzoom,f,20,21,Mykolenko,2,Dorgu,5,-3
Lulli XI,w,20,21,L.Paquetá,2,Casemiro,4,-2
Cant win fc,w,20,21,Dunk,3,Hall,4,-1
Tension nae leni FC,f,20,21,Areola,2,Leno,3,-1
Watermelon FC,w,20,21,G.Jesus,1,Igor Jesus,2,-1
Watermelon FC,w,20,21,F.Kadıoğlu,2,Schär,3,-1
Tension nae leni FC,f,20,21,Broja,2,Tolu,2,0
dazzoomzzoom,f,20,21,Romero,3,Andersen,2,1
bend it like rice,f,20,21,Barry,2,Isidor,0,2
Tension nae leni FC,f,20,21,Konsa,7,Tete,0,7
