team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,f,30,31,Bruno G.,3,Iwobi,13,-10
Tension nae leni FC,f,30,31,Kilman,1,Collins,7,-6
Masala Pan,w,30,31,Robertson,1,Mazraoui,7,-6
dazzoomzzoom,w,30,31,Darwin,1,Strand Larsen,6,-5
Masala Pan,w,30,31,Sánchez,6,Onana,11,-5
dazzoomzzoom,f,30,31,Estupiñan,1,Dalot,5,-4
Tension nae leni FC,f,30,31,Lewis,1,Spence,5,-4
Cant win fc,w,30,31,Neto,1,Kudus,4,-3
dazzoomzzoom,f,30,31,Zabarnyi,1,Doherty,2,-1
Dragon riders,w,30,31,Gakpo,1,Vardy,2,-1
Lulli XI,w,30,31,Awoniyi,0,Daka,1,-1
Masala Pan,w,30,31,Merino,2,Schade,3,-1
dazzoomzzoom,w,30,31,Delap,8,Welbeck,9,-1
Dragon riders,w,30,31,Kelleher,2,Pickford,3,-1
dazzoomzzoom,w,30,31,Cucurella,1,Tarkowski,1,0
Cant win fc,w,30,31,N.Jackson,1,Zirkzee,1,0
dazzoomzzoom,w,30,31,Martinez,1,Leno,1,0
Masala Pan,w,30,31,Diogo J.,2,Foden,1,1
dazzoomzzoom,f,30,31,De Bruyne,3,Bellegarde,2,1
Lulli XI,f,30,31,Trippier,6,Huijsen,4,2
Masala Pan,w,30,31,Burn,6,N.Semedo,2,4
Lulli XI,w,30,31,Rogers,9,Nkunku,1,8
Lulli XI,w,30,31,Schär,10,Aït-Nouri,2,8
Cant win fc,w,30,31,Livramento,11,Toti,2,9
Cant win fc,f,30,31,James,9,De Ligt,0,9
