team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Watermelon FC,w,13,14,Kolo Muani,2,Igor Jesus,9,-7
Cant win fc,f,13,14,Schär,1,Konaté,4,-3
Watermelon FC,w,13,14,Van den Berg,1,Truffert,4,-3
Tension nae leni FC,f,13,14,Anderson,2,Xhaka,4,-2
Tension nae leni FC,f,13,14,Pau,-1,Digne,1,-2
Watermelon FC,w,13,14,Konsa,1,Rodon,2,-1
Lulli XI,w,13,14,Collins,1,Robertson,2,-1
Cant win fc,w,13,14,Cherki,0,Garnacho,1,-1
Lulli XI,f,13,14,Kelleher,2,Lammens,2,0
dazzoomzzoom,w,13,14,Barnes,3,J.Murphy,3,0
bend it like rice,w,13,14,Wilson,2,Strand Larsen,2,0
bend it like rice,w,13,14,J.Palhinha,0,Estêvão,0,0
Tension nae leni FC,f,13,14,Kayode,1,Gusto,1,0
Tension nae leni FC,f,13,14,Dewsbury-Hall,3,Sessegnon,2,1
Lulli XI,w,13,14,Thiaw,1,De Ligt,0,1
dazzoomzzoom,w,13,14,Petrović,2,Mamardashvili,0,2
Tension nae leni FC,f,13,14,Nmecha,2,Wissa,0,2
dazzoomzzoom,w,13,14,Livramento,3,James,0,3
Lulli XI,w,13,14,Bruno G.,7,Szoboszlai,2,5
