team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,2,,Zinchenko,,Tarkowski,,
Tension nae leni FC,w,2,,Hall,,Mykolenko,,
dazzoomzzoom,w,2,,Iwobi,,J.Murphy,,
Premier XI,w,2,,Martinez,,Chilwell,,
dazzoomzzoom,w,2,,Strand Larsen,,Edouard,,
Dragon riders,f,2,,Cunha,,Broja,,
Tension nae leni FC,w,2,,Sánchez,,Flekken,,
Cant win fc,w,2,,Kulusevski,,Summerville,,
Dragon riders,w,2,,Hee Chan,,Trossard,,
dazzoomzzoom,w,2,,Tete,,Andersen,,
dazzoomzzoom,f,2,,Alex Moreno,,De Ligt,,
Masala Pan,w,2,,Vardy,,Darwin,,
Tension nae leni FC,w,2,,Joelinton,,Winks,,
Cant win fc,w,2,,Evanilson,,Højlund,,
Dragon riders,w,2,,Lewis,,Aké,,
Lulli XI,w,2,,Sels,,Neto,,
Masala Pan,w,2,,Burn,,Davis,,
Dragon riders,w,2,,Broja,,Gakpo,,
dazzoomzzoom,f,2,,Doku,,Iwobi,,
Lulli XI,w,2,,Robinson,,Schär,,
