team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Premier XI,f,10,11,Guéhi,1,De Ligt,6,-5
Masala Pan,w,10,11,Ferguson,0,Antonio,2,-2
dazzoomzzoom,w,10,11,Young,5,Murillo,7,-2
Lulli XI,w,10,11,Trossard,1,Sávio,3,-2
Masala Pan,w,10,11,Roerslev,0,Faes,1,-1
dazzoomzzoom,w,10,11,Henderson,2,Verbruggen,3,-1
Lulli XI,f,10,11,Tsimikas,0,Pinnock,1,-1
Premier XI,w,10,11,Dalot,1,Davis,1,0
Cant win fc,w,10,11,Mateta,2,Strand Larsen,2,0
Lulli XI,f,10,11,Matheus N.,2,Trossard,1,1
Lulli XI,w,10,11,Pinnock,1,Stones,0,1
Dragon riders,w,10,11,Pickford,11,Martinez,2,9
