team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,f,35,36,J.Timber,0,Kilman,6,-6
dazzoomzzoom,w,35,36,A.Doucoure,5,Bruno G.,7,-2
dazzoomzzoom,f,35,36,Matheus N.,0,Harrison,2,-2
Cant win fc,w,35,36,Ndiaye,1,Delap,2,-1
Lulli XI,w,35,36,O'Brien,0,Smith,1,-1
dazzoomzzoom,w,35,36,Harrison,2,Barnes,3,-1
dazzoomzzoom,f,35,36,Aina,0,Milenković,1,-1
dazzoomzzoom,w,35,36,Kiwior,1,Cucurella,1,0
dazzoomzzoom,w,35,36,White,1,Andersen,1,0
Tension nae leni FC,f,35,36,Nketiah,1,Muniz,0,1
Lulli XI,w,35,36,Kudus,6,Szoboszlai,5,1
Masala Pan,w,35,36,Marmoush,1,Richarlison,0,1
Cant win fc,f,35,36,Martinez,8,Pope,7,1
Cant win fc,w,35,36,Branthwaite,2,James,1,1
Tension nae leni FC,f,35,36,Ramsdale,10,Verbruggen,8,2
Cant win fc,w,35,36,Ødegaard,5,Neto,2,3
Lulli XI,w,35,36,Ederson M.,6,Leno,2,4
Cant win fc,f,35,36,Van den Berg,6,Bassey,1,5
dazzoomzzoom,w,35,36,El Khannouss,5,Rashford,0,5
Masala Pan,w,35,36,Martinelli,7,Hinshelwood,1,6
Lulli XI,f,35,36,Collins,8,N.Semedo,1,7
dazzoomzzoom,w,35,36,Beto,8,Strand Larsen,1,7
dazzoomzzoom,f,35,36,Schade,11,Hudson-Odoi,0,11
Lulli XI,w,35,36,Eze,16,Kluivert,1,15
