team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,23,24,Bruno G.,2,Elanga,13,-11
Tension nae leni FC,w,23,24,Flekken,0,José Sá,7,-7
Premier XI,w,23,24,Chalobah,1,Aït-Nouri,7,-6
Cant win fc,w,23,24,Minteh,2,Savinho,5,-3
Masala Pan,w,23,24,Burn,0,Colwill,2,-2
Lulli XI,w,23,24,O.Dango,2,Enzo,4,-2
dazzoomzzoom,w,23,24,Calvert-Lewin,0,Ings,1,-1
Masala Pan,w,23,24,Joelinton,1,Diogo J.,1,0
dazzoomzzoom,f,23,24,Cash,0,Akanji,0,0
Cant win fc,w,23,24,Pope,0,Ederson M.,0,0
Premier XI,w,23,24,Damsgaard,3,Bernardo,2,1
dazzoomzzoom,w,23,24,Estupiñan,0,Veltman,-1,1
Lulli XI,w,23,24,Darwin,2,Højlund,1,1
Tension nae leni FC,f,23,24,Zirkzee,1,Strand Larsen,0,1
Tension nae leni FC,w,23,24,Arrizabalaga,2,Ortega Moreno,0,2
