team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
dazzoomzzoom,w,37,38,A.Doucoure,1,Matheus N.,6,-5
Lulli XI,w,37,38,Wan-Bissaka,5,O'Brien,6,-1
Cant win fc,w,37,38,Kiwior,2,Van den Berg,2,0
dazzoomzzoom,w,37,38,Hutchinson,2,Damsgaard,2,0
Lulli XI,f,37,38,Young,5,Wan-Bissaka,5,0
dazzoomzzoom,w,37,38,Foden,1,Savinho,1,0
Lulli XI,w,37,38,Muñoz,2,Trippier,1,1
Cant win fc,w,37,38,Højlund,2,N.Jackson,0,2
Cant win fc,w,37,38,Ødegaard,7,Trossard,4,3
Cant win fc,f,37,38,Mitchell,5,Livramento,2,3
Cant win fc,w,37,38,Neto,6,Bernardo,3,3
dazzoomzzoom,w,37,38,Mykolenko,9,Aina,1,8
