team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,26,27,Aina,1,Shaw,6,-5
Cant win fc,f,26,27,Shaw,6,Diouf,9,-3
bend it like rice,w,26,27,Lacroix,0,Murillo,2,-2
Lulli XI,w,26,27,Gakpo,3,Casemiro,5,-2
Tension nae leni FC,w,26,27,Rayan,3,Scott,5,-2
Tension nae leni FC,f,26,27,Digne,0,Struijk,2,-2
Tension nae leni FC,w,26,27,Tolu,0,Delap,1,-1
Tension nae leni FC,f,26,27,Truffert,6,Konsa,7,-1
Watermelon FC,w,26,27,Calvert-Lewin,2,Kroupi.Jr,2,0
Tension nae leni FC,w,26,27,Bernardo,1,Ayari,0,1
Watermelon FC,w,26,27,Ndiaye,2,Schade,1,1
Cant win fc,w,26,27,Richards,6,Robinson,0,6
Tension nae leni FC,w,26,27,Kerkez,6,Van de Ven,0,6
Lulli XI,f,26,27,Petrović,9,Leno,2,7
Tension nae leni FC,w,26,27,Dalot,7,O'Brien,0,7
Lulli XI,w,26,27,Welbeck,9,Mateta,0,9
Cant win fc,w,26,27,Henderson,16,Areola,0,16
