team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,f,1,2,Areola,0,Henderson,2,-2
Cant win fc,f,1,2,Matheus N.,0,Robertson,0,0
Trust the process,f,1,2,Doku,1,Amad,1,0
dazzoomzzoom,f,1,2,Bernardo,1,J.Murphy,0,1
Cant win fc,f,1,2,Piroe,1,Havertz,0,1
Trust the process,f,1,2,Reijnders,2,Doku,1,1
dazzoomzzoom,f,1,2,O'Brien,6,Branthwaite,0,6
Trust the process,f,1,2,Hudson-Odoi,10,Eze,0,10
