team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,15,16,Schade,0,Rogers,15,-15
dazzoomzzoom,w,15,16,Van Hecke,1,O'Reilly,6,-5
Lulli XI,w,15,16,Hincapie,4,Konaté,9,-5
Cant win fc,w,15,16,Szoboszlai,3,Cherki,6,-3
Watermelon FC,w,15,16,Lammens,1,Vicario,2,-1
Watermelon FC,w,15,16,Grealish,2,Enzo,3,-1
Watermelon FC,w,15,16,Senesi,1,Konsa,1,0
Tension nae leni FC,f,15,16,De Cuyper,0,Pau,0,0
Tension nae leni FC,f,15,16,Zirkzee,1,Nmecha,0,1
Cant win fc,w,15,16,Ramsdale,2,Martinez,0,2
Cant win fc,w,15,16,Hall,4,Mosquera,0,4
Cant win fc,f,15,16,Roefs,9,Pope,0,9
Tension nae leni FC,f,15,16,Wilson,16,Anderson,3,13
