team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,33,34,Maatsen,0,Sessegnon,11,-11
Cant win fc,w,33,34,White,0,Livramento,6,-6
dazzoomzzoom,w,33,34,Lewis,0,N.Semedo,6,-6
Premier XI,w,33,34,Nwaneri,0,Maddison,4,-4
Tension nae leni FC,w,33,34,Rice,0,Bruno G.,3,-3
Lulli XI,w,33,34,De Bruyne,0,Tonali,3,-3
Tension nae leni FC,w,33,34,Nketiah,0,Beto,2,-2
Premier XI,w,33,34,Thomas,0,Kluivert,2,-2
Tension nae leni FC,w,33,34,Ortega Moreno,0,Leno,2,-2
Premier XI,w,33,34,Onana,2,Arrizabalaga,3,-1
dazzoomzzoom,w,33,34,Konsa,0,Huijsen,1,-1
Cant win fc,w,33,34,Delap,1,Wilson,1,0
Premier XI,w,33,34,Dalot,0,Chilwell,0,0
dazzoomzzoom,w,33,34,Rashford,0,Son,0,0
Cant win fc,w,33,34,Gordon,1,Joelinton,0,1
Cant win fc,f,33,34,Elanga,2,Gordon,1,1
Tension nae leni FC,w,33,34,Füllkrug,1,Onuachu,0,1
Lulli XI,f,33,34,Areola,3,Ederson M.,0,3
