team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,f,8,9,Bogle,2,Konsa,8,-6
Tension nae leni FC,w,8,9,Hume,2,Digne,6,-4
dazzoomzzoom,f,8,9,Struijk,0,James,1,-1
Cant win fc,w,8,9,Trossard,3,Rogers,3,0
Cant win fc,w,8,9,Kelleher,2,Mamardashvili,2,0
Lulli XI,w,8,9,Diouf,1,Schär,1,0
Tension nae leni FC,w,8,9,Cullen,2,Bergvall,1,1
bend it like rice,w,8,9,Richards,2,N.Williams,1,1
Tension nae leni FC,w,8,9,Xhaka,2,Ødegaard,0,2
Lulli XI,w,8,9,Szoboszlai,10,Cunha,8,2
Trust the process,f,8,9,Tavernier,11,Neto,8,3
dazzoomzzoom,f,8,9,Garnacho,6,Stach,0,6
Tension nae leni FC,w,8,9,Foster,7,Wissa,0,7
bend it like rice,w,8,9,Bruno G.,10,Anthony,2,8
Watermelon FC,w,8,9,Rodon,13,Frimpong,0,13
