team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,w,38,,Wan-Bissaka,,Mitchell,,
Cant win fc,f,38,,Tel,,Son,,
dazzoomzzoom,w,38,,Tavernier,,Hutchinson,,
Lulli XI,w,38,,Livramento,,Rúben,,
Lulli XI,w,38,,Zabarnyi,,Akanji,,
Tension nae leni FC,w,38,,Cash,,J.Timber,,
Cant win fc,w,38,,Areola,,Martinez,,
Tension nae leni FC,w,38,,Coady,,N.Semedo,,
Lulli XI,w,38,,Gordon,,Eze,,
Cant win fc,f,38,,Son,,Neto,,
Tension nae leni FC,w,38,,Trossard,,Mac Allister,,
dazzoomzzoom,w,38,,Havertz,,Beto,,
Cant win fc,w,38,,Wilson,,Højlund,,
dazzoomzzoom,f,38,,Kilman,,Mykolenko,,
Cant win fc,f,38,,J.Araujo,,N.Williams,,
dazzoomzzoom,w,38,,Calafiori,,Milenković,,
dazzoomzzoom,f,38,,Bruno G.,,Foden,,
Tension nae leni FC,w,38,,Bernardo,,Doku,,
Cant win fc,w,38,,Schär,,Branthwaite,,
Tension nae leni FC,w,38,,Obi,,Delap,,
Tension nae leni FC,w,38,,McNeil,,Enzo,,
Lulli XI,f,38,,Pope,,Ederson M.,,
Lulli XI,f,38,,Konsa,,Young,,
Lulli XI,w,38,,Barnes,,De Bruyne,,
