team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,f,21,,Casemiro,,Dewsbury-Hall,,
Lulli XI,w,21,,Enzo,,Minteh,,
Cant win fc,w,21,,Hutchinson,,Kudus,,
Cant win fc,f,21,,Kayode,,Calafiori,,
Watermelon FC,f,21,,Brobbey,,Wilson,,
Lulli XI,w,21,,Garner,,L.Paquetá,,
Cant win fc,f,21,,Sarr,,Mitoma,,
Lulli XI,w,21,,Gusto,,Frimpong,,
dazzoomzzoom,f,21,,Vicario,,Petrović,,
Cant win fc,w,21,,Aké,,Dunk,,
dazzoomzzoom,f,21,,Joelinton,,Neto,,
Watermelon FC,w,21,,Igor Jesus,,G.Jesus,,
Cant win fc,w,21,,Schär,,Gvardiol,,
Tension nae leni FC,f,21,,Collins,,Lewis-Potter,,
Cant win fc,w,21,,Khusanov,,Maatsen,,
Watermelon FC,f,21,,Danso,,Rúben,,
Tension nae leni FC,f,21,,Beto,,Broja,,
Tension nae leni FC,f,21,,O'Brien,,Van Hecke,,
dazzoomzzoom,f,21,,Hall,,Guéhi,,
Cant win fc,f,21,,N.Williams,,Aké,,
Cant win fc,f,21,,Barnes,,Hutchinson,,
Watermelon FC,f,21,,Dorgu,,F.Kadıoğlu,,
